post_time,median
0,4.0
1,4.0
2,4.0
3,5.0
4,4.0
5,5.0
6,10.0
7,10.0
8,7.0
9,5.0
10,5.0
11,5.0
12,5.0
13,5.0
14,5.0
15,4.0
16,5.0
17,4.0
18,5.0
19,4.0
20,4.0
21,4.0
22,4.0
23,4.0
